Year,Avg. Price
2016,8.58
2015,$8.4
2014,$8.1
2013,$8.1
2012,$7.9
2011,$7.9
2010,$7.8
2009,$7.5
2008,$7.1
2007,$6.8
2006,$6.5
2005,$6.4
2004,$6.2
2003,$6.0
2002,$5.8
2001,$5.6
2000,$5.3
1999,$5.0
1998,$4.6
1997,$4.5
1996,$4.4
1995,$4.3
1994,$4.1
1993,$4.1
1992,$4.1
1991,$4.2
1990,$4.2
1989,$3.9
1988,$4.1
1987,$3.9
1986,$3.7
1985,$3.5
1984,$3.3
1983,$3.1
1982,$2.9
1981,$2.7
1980,$2.6
1979,$2.5
1978,$2.3
1977,$2.2
1976,$2.1
1975,$2.0
1974,$1.8
1973,$1.7
1972,$1.7
1971,$1.6
1970,$1.5
