,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
1,Peter Masterson,Island Pictures,Drama,PG,The Trip to Bountiful,1985-12-20,0,triptobountiful,1,Geraldine Page,108,1985,20560.1314286,45022606.3682,5650869.56187,1.55834294295,1,Drama
3,Peter Yates,Fox,Comedy / Drama,PG,Breaking Away,1979-07-13,0,breakingaway,1,Dennis Christopher,100,1979,60753.264,193462933.353,24281886.1992,1.54199348745,1,Comedy
13,Albert Brooks,Columbia,Romantic Comedy,R,Modern Romance,1981-03-13,0,modernromance,1,Albert Brooks,93,1981,57915,28917834.6953,3629530.15234,1.47940252978,1,Romantic
26,Martin Scorsese,Warner Bros.,Unknown,R,After Hours,1985-09-13,1,afterhours,1,Griffin Dunne,96,1985,111380.657143,63756736.2013,61933085.5019,1.47197775383,1,Unknown
23,Will Carroll,Miramax,Romance,R,Playing by Heart,1999-01-01,0,playingbyheart,1,Angelina Jolie,121,1999,45764.004,11690514.0032,28571428.5714,1.46101732254,0,Romance
21,Gavin O'Connor,Miramax,Drama,R,Miracle,1991-07-03,0,miracle,1,Kurt Russell,96,1991,24669.5428571,3486842.4553,437639.913627,1.45120254189,1,Drama
32,Miranda July,IFC,Comedy / Drama,R,Me and You and Everyone We Know,2005-06-17,1,meandyouandeveryoneweknow,1,Miranda July,90,2005,41292.590625,6982655.72748,876405.788963,1.44871742422,1,Comedy
29,Matthew Barney,Palm,Unknown,Unrated,The Cremaster Cycle,2003-04-25,0,cremastercycle,1,,182,2003,15422.55,1052350.5278,132082.403342,1.43257802416,1,Unknown
41,"Fenton Bailey, Randy Barbato",Strand,Comedy Thriller,R, Party Monster,2003-08-29,0,partymonster,1,Seth Green,97,2003,21683.09,1519152.1202,190671.510253,1.42818092221,1,Comedy
82,Ang Lee,Focus Features,Foreign,NC-17,"Lust, Caution",2007-09-28,0,lustcaution,1,Tony Leung Chiu-Wai,158,2007,80649.4764706,7331362.38981,17221418.2344,1.41877420645,0,Foreign
47,Gregg Araki,Tartan,Drama,NC-17,Mysterious Skin,2005-05-06,0,mysteriousskin,1,Joseph Gordon-Levitt,99,2005,23360.390625,1281888.69961,160892.140945,1.41841624115,1,Drama
53,Lee Hirsch,Artisan,Unknown,PG-13,Amandla!: A Revolution in Four-Part Harmony,2003-02-19,0,amandla,1,the use of music against South Africa under apartheid,103,2003,20278.83,828861.3619,104031.858768,1.40992303031,1,Unknown
113,Woody Allen,Fox Searchlight,Fantasy Comedy,PG-13,Melinda and Melinda,2005-03-18,0,melindaandmelinda,1,Chiwetel Ejiofor,100,2005,99525.31875,6876878.88164,863129.412831,1.40777566556,1,Fantasy
94,Alison Maclean,Lions Gate,Drama,R,Jesus' Son,2000-06-16,0,jesusson,1,Billy Crudup,105,2000,60042.1924528,3412370.42004,34552845.5285,1.40747512006,0,Drama
57,Jonas Åkerlund,Newmarket,Crime Drama,R,Spun,2003-03-14,0,spun,1,Jason Schwartzman,101,2003,21678.8,840697.2431,105517.398701,1.40718765703,1,Crime
81,Anton Corbijn,Weinstein Company,Music Drama,R,Control,2007-10-10,1,control,1,Sam Riley,121,2007,34918.0764706,1388668.94751,174294.29903,1.40217095842,1,Music
141,Mike Birbiglia,IFC,Comedy,PG-13,Sleepwalk with Me,2012-08-24,0,sleepwalkwithme,1,Mike Birbiglia,81,2012,74723.1113924,2672964.1836,335488.451802,1.39054239456,1,Comedy
77,Craig Zobel,Magnolia,Drama / Thriller,R,Compliance,2012-08-17,0,compliance,1,Ann Dowd,90,2012,17840.9696203,376616.123602,47269.7378703,1.3880288133,1,Drama
74,Jeff Garlin,IFC,Comedy,R, I Want Someone to Eat Cheese With,2007-09-05,0,iwantsomeonetoeatcheesewith,1,Jeff Garlin,80,2007,15541.1558824,309762.018062,38878.7620716,1.38751036307,1,Comedy
106,Miranda July,Roadside Attractions,Drama,R,The Future,2011-07-29,0,future,1,Hamish Linklater,91,2011,29472.843038,670771.499067,1058064.63086,1.38529512437,0,Drama
159,Peter Yates,Warner Bros.,Unknown,PG,Eleni,1985-11-01,0,eleni,1,Kate Nelligan,114,1985,68333.5714286,1833511.09166,61933085.5019,1.38247556216,1,Unknown
128,Harmony Korine,IFC,Comedy / Drama,Unrated,Mister Lonely,2008-05-02,0,misterlonely,1,Diego Luna,108,2008,20264.5098592,244457.268289,30682.2329602,1.36721747764,1,Comedy
190,Michael Corrente,City Lights Pictures Releasing,Crime Drama,R,Brooklyn Rules,2007-05-11,0,brooklynrules,1,Alec Baldwin,95,2007,52755.6441176,729528.334879,9184756.3917,1.36396142711,0,Crime
178,Todd Solondz,IFC,Comedy / Drama,R,Life During Wartime,2010-07-23,0,lifeduringwartime,1,Ally Sheedy,98,2010,33557.7,340550.87,49115823.4582,1.35742824654,0,Comedy
279,Guy Maddin,Vitagraph,Drama,Unrated,Brand Upon the Brain!,2007-05-09,0,branduponthebrain,1,Sullivan Brown,95,2007,58561.0235294,419027.605536,52592.788949,1.34287737153,1,Drama
162,Justin Lin,IFC,Comedy,Unrated,Finishing the Game,2007-10-05,0,finishingthegame,1,James Franco,84,2007,15018.7852941,84168.5085467,10564.1095743,1.34286273295,1,Comedy
185,Jarrett Schaefer,Peace Arch Entertainment,Crime Drama,R,Chapter 27,2008-03-28,0,chapter27,1,Jared Leto,84,2008,16809.5492958,82093.7497718,10303.6987834,1.33742926553,1,Crime
445,Kevin Smith,SModcast Pictures,Horror Thriller,R,Red State,2011-03-05,0,redstate,1,Michael Angarano,97,2011,221809.291139,1303039.76903,163546.404254,1.33103997274,1,Horror
329,Alan Rudolph,Alive Films,Crime Drama,R,Trouble in Mind,1985-12-11,0,troubleinmind,1,Kris Kristofferson,111,1985,39293.9485714,117978.544065,14807.614358,1.31782401975,1,Crime
42,Vadim Perelman,DreamWorks,Drama / Thriller,R,House of Sand and Fog,2003-12-19,0,houseofsandandfog,2,Jennifer Connelly,126,2003,65167.96,26666084.9312,213423913.043,1.29316683632,0,Drama
40,Raymond De Felitta,Anchor Bay Films,Comedy,PG-13,City Island,2010-03-19,0,cityisland,2,Andy García,100,2010,35201.1,8071953.56,6548776.46109,1.28813381616,0,Comedy
49,Ed Harris,Sony Classics,Drama,R,Pollock,2000-12-15,0,pollock,2,Ed Harris,117,2000,71625.1924528,22534619.499,2828361.11634,1.28712573866,1,Drama
66,Mira Nair,USA Films,Foreign,R,Monsoon Wedding,2002-02-22,1,monsoonwedding,2,Naseeruddin Shah,114,2002,101400.806897,30387480.0072,3813987.92359,1.2828987249,1,Foreign
52,Julie Taymor,Fox Searchlight,Fantasy Drama,R,Titus,1999-12-25,0,titus,2,Anthony Hopkins,162,1999,38289.108,5910778.54224,741872.531244,1.27922636326,1,Fantasy
84,Kimberly Peirce,Fox Searchlight,Drama,R,Boys Don't Cry,1999-10-08,1,boysdontcry,2,Hilary Swank,118,1999,126503.52,33983117.6462,2857142.85714,1.27892295905,0,Drama
