title,isCult
Andy Warhol's Trash,1
Beyond the Valley of the Dolls,1
Colossus: The Forbin Project,1
Deadlock,1
Deep End,1
Dinah East,1
Equinox,1
Gimme Shelter,1
I Drink Your Blood,1
"Lo Chiamavano Trinità (They Call Me Trinity, also known as My Name is Trinity)",1
Love Story,1
Maidstone,1
Das Millionenspiel,1
The Music Lovers,1
Myra Breckinridge,1
Performance,1
The Projectionist,1
Rejs (The Cruise),1
El Topo,1
L' Urlo (The Howl),1
Valerie a týden divů (Valerie and Her Week of Wonders),1
The Vampire Lovers,1
Where's Poppa?,1
Woodstock,1
Zabriskie Point,1
200 Motels,1
The Abominable Dr. Phibes,1
And Now For Something Completely Different,1
The Andromeda Strain,1
Bananas,1
Billy Jack,1
Carnal Knowledge,1
A Clockwork Orange,1
The Devils,1
Dzhentlmeny udachi (Gentlemen of Fortune),1
Get Carter,1
"Giù la testa (Duck, You Sucker!)",1
"Gojira tai Hedora (Godzilla vs. Hedorah, also known as Godzilla vs. the Smog Monster)",1
The Grissom Gang,1
Hare Rama Hare Krishna,1
Harold and Maude,1
The Hired Hand,1
Hydrozagadka,1
Johnny Got His Gun,1
The Last Picture Show,1
Let's Scare Jessica to Death,1
Les Lèvres Rouges (Daughters of Darkness),1
Malpertuis,1
A New Leaf,1
The Omega Man,1
Le Roman d'un Voleur de Chevaux (Romance of a Horsethief),1
Straw Dogs,1
Sweet Sweetback's Baadasssss Song,1
The Telephone Book,1
THX 1138,1
Touch of Zen,1
Two-Lane Blacktop,1
Vampyros Lesbos (also known as Las Vampiras),1
Vanishing Point,1
Vase de Noces (also known as The Pigfucking Movie),1
The Velvet Vampire (also known as Cemetery Girls),1
"W.R. - Misterije organizma, W.R (WR: Mysteries of the Organism)",1
Wake in Fright,1
Walkabout,1
Willy Wonka & the Chocolate Factory,1
Zaat,1
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",1
An American Hippie in Israel,1
Behind the Green Door,1
Blacula,1
"Ché? (also known as What?, Quoi?, Was? and Diary of Forbidden Dreams)",1
Children Shouldn't Play with Dead Things,1
Cisco Pike,1
Cocksucker Blues,1
The Day The Clown Cried,1
Deep Throat,1
Dr. Phibes Rises Again,1
Dziewczyny do wzięcia (Marriageable Girls),1
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),1
Fat City,1
Fist of Fury,1
Fritz the Cat,1
Get to Know Your Rabbit,1
The Harder They Come,1
Junior Bonner,1
The Last House on the Left,1
Last Tango in Paris,1
Lucifer Rising,1
Night of the Lepus,1
La Novia Ensangrentada (The Blood Spattered Bride),1
Pink Flamingos,1
The Poseidon Adventure,1
Prime Cut,1
Rocker,1
The Ruling Class,1
Sayonara CP (Goodbye CP),1
Silent Running,1
Solaris,1
Sunshine Daydream,1
Super Fly,1
The Thing With Two Heads,1
Tiān xià dì yī quán (also known as Five Fingers of Death and/or King Boxer),1
Ulzana's Raid,1
Vampire Circus,1
Viskningar och rop (Cries and Whispers),1
Vous n'aurez pas l'Alsace et la Lorraine (You Won't Have Alsace-Lorraine),1
Alvin Purple,1
L'An 01 (The Year 01),1
Andy Warhol's Frankenstein (also known as Flesh for Frankenstein),1
Les Aventures de Rabbi Jacob (The Mad Adventures of Rabbi Jacob),1
The Baby,1
Badlands,1
"Black Mama, White Mama",1
Coffy,1
La Dialectique Peut-Elle Casser Des Briques? (Can Dialectics Break Bricks?),1
Don't Be Afraid of the Dark,1
Don't Look Now,1
Electra Glide in Blue,1
L'emmerdeur (A Pain in the...),1
Enter the Dragon,1
F for Fake,1
"Film d'amore e d'anarchia, ovvero: stamattina alle 10, in via dei Fiori, nella nota casa di tolleranza... (Love and Anarchy)",1
Ganja & Hess,1
Gojira tai Megaro (Godzilla vs. Megalon),1
"La Grande Bouffe (also known as La Grande Abbuffata, The Grande Bouffe and/or Blow-Out)",1
Heavy Traffic,1
Il mio nome è Nessuno (My Name Is Nobody),1
Ivan Vasilyevich menyayet professiyu (Ivan Vasilievich: Back to the Future),1
Kanashimi no Belladonna (Belladonna of Sadness),1
Die Legende von Paul und Paula (The Legend of Paul and Paula),1
The Long Goodbye,1
The Mack,1
Le Magnifique,1
Mean Streets,1
La montaña sagrada (The Holy Mountain),1
Pat Garrett and Billy the Kid,1
La Planète Sauvage (Fantastic Planet),1
Shurayuki-hime (Lady Snowblood),1
Sisters,1
Sleeper,1
Soylent Green,1
Themroc,1
"Thriller – en grym film (Thriller - A Cruel Picture, also known as They Call Her One Eye andHooker's Revenge)",1
Tři oříšky pro Popelku (also known as Drei Haselnüsse für Aschenbrödel and/or Three Gifts for Cinderella),1
Turks Fruit (Turkish Delight),1
Wattstax,1
Westworld,1
The Wicker Man,1
Wniebowzięci (The Ascended),1
Ziggy Stardust and the Spiders from Mars,1
Andy Warhol's Dracula (also known as Blood for Dracula),1
Black Belt Jones,1
Black Christmas,1
Blazing Saddles,1
Bring Me the Head of Alfredo Garcia,1
Caged Heat,1
Captain Kronos - Vampire Hunter,1
Dark Star,1
Deathdream,1
Deranged,1
Dunderklumpen!,1
Emmanuelle,1
Female Trouble,1
Flesh Gordon,1
Foxy Brown,1
Gekitotsu! Satsujin Ken (The Street Fighter),1
Ilsa: She Wolf of the SS,1
It's Alive,1
The Legend of the 7 Golden Vampires,1
Lenny,1
The Little Prince,1
Love and Death,1
The Nine Lives of Fritz the Cat,1
The Parallax View,1
Phantom of the Paradise,1
Phase IV,1
Il Portiere di Notte (The Night Porter),1
Space Is The Place,1
Stone,1
Sweet Movie,1
The Texas Chain Saw Massacre,1
Travolti da un insolito destino nell'azzurro mare d'agosto (Swept Away),1
Les Valseuses (Going Places),1
Young Frankenstein,1
Zardoz,1
Black Moon,1
A Boy and His Dog,1
Coonskin,1
Darktown Strutters,1
Death Race 2000,1
The Devil's Rain,1
Dolemite,1
Down and Dirty Duck,1
The Giant Spider Invasion,1
Histoire d'O (Story of O),1
Inserts,1
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles (also known as Everyday Life of a Housewife)",1
Je t' aime... moi non plus,1
A Kenguru (The Kangaroo),1
Lisztomania,1
Monty Python and the Holy Grail,1
Picnic at Hanging Rock,1
Quasi at the Quackadero,1
Race with the Devil,1
The Rocky Horror Picture Show,1
"Salò o le 120 giornate di Sodoma (Salò, or the 120 Days of Sodom)",1
Shivers,1
Sholay,1
The Stepford Wives,1
Supervixens,1
Switchblade Sisters,1
"Tarzoon, la Honte de la Jungle (Tarzoon: Shame of the Jungle)",1
Thundercrack!,1
Tommy,1
Trilogy of Terror,1
Two Tons of Turquoise to Taos Tonight (also known as Moment to Moment),1
Vámmentes házasság (Duty-Free Marriage),1
Die verlorene Ehre der Katharina Blum (The Lost Honour of Katharina Blum),1
"Zdravstvuyte, ya vasha tyotya! (Hello, I'm Your Aunt!)",1
Les 12 Travaux d'Astérix (The 12 Tasks of Asterix),1
Ai no korīda / L'Empire des Sens (also known as In the Realm of the Senses),1
Alice in Wonderland: An X-Rated Musical Fantasy,1
Allegro Non Troppo,1
Assault on Precinct 13,1
Car Wash,1
Carrie,1
The First Nudie Musical,1
Giv'at Halfon Eina Ona (Halfon Hill Doesn't Answer),1
The Great Texas Dynamite Chase,1
Grey Gardens,1
"Ironiya sudby, ili S lyogkim parom! (The Irony of Fate, also known as Enjoy Your Bath!)",1
Jackson County Jail,1
Jabberwocky,1
Le Locataire (The Tenant),1
Logan's Run,1
Mad Dog Morgan,1
Mandingo,1
The Man Who Fell to Earth,1
Massacre at Central High,1
Master of the Flying Guillotine,1
Nordsee ist Mordsee,1
Parlez-nous d'amour,1
The Ritz,1
The Song Remains the Same,1
Taxi Driver,1
To the Devil a Daughter,1
ABBA: The Movie,1
Der Amerikanische Freund (The American Friend),1
Andy Warhol's Bad,1
Annie Hall,1
The Duellists,1
Eraserhead,1
The Grateful Dead Movie,1
Hausu (House),1
The Hills Have Eyes,1
The Kentucky Fried Movie,1
The Last Wave,1
Martin,1
The Model Couple,1
New York,1
Outrageous!,1
Pumping Iron,1
Slap Shot,1
Sorcerer,1
Suspiria,1
Unsichtbare Gegner (Invisible Adversaries),1
Wizards,1
The 36th Chamber of Shaolin,1
Die Abfahrer,1
Alucarda,1
Attack of the Killer Tomatoes,1
Big Wednesday,1
Blue Sunshine,1
La Cage aux Folles,1
"Co mi zrobisz, jak mnie złapiesz? (What Will You Do When You Catch Me?)",1
Dawn of the Dead,1
Drunken Master,1
Eskimo Limon,1
Faces of Death,1
Felicity,1
Five Deadly Venoms,1
Game of Death,1
Goin' South,1
Halloween,1
I Spit on Your Grave,1
Jubilee,1
Kiss Meets the Phantom of the Park,1
Laserblast,1
The Last Waltz,1
Let Me Die a Woman,1
Long Weekend,1
The Lord of the Rings,1
Madame X - eine absolute Herrscherin (Madame X - An Absolute Ruler),1
"The Mafu Cage (also known as The Cage, Deviation, My Sister, My Love or Don't Ring The Doorbell)",1
Magic,1
Messer im Kopf (Knife in the Head),1
Patrick,1
Piranha,1
Pretty Baby,1
Rockers,1
The Rutles: All You Need Is Cash,1
Sextette,1
Star Wars Holiday Special,1
The Swarm,1
Up in Smoke,1
Watership Down,1
A Wedding,1
The Wiz,1
1941,1
Alien,1
The Amityville Horror,1
Baby Snakes,1
The Black Hole,1
Die Blechtrommel (The Tin Drum),1
The Brood,1
Buffet Froid,1
Caligula,1
Cha Cha,1
Chilly Scenes of Winter,1
Cocaine Cowboys,1
The Driller Killer,1
The Great Rock 'n' Roll Swindle,1
Love at First Bite,1
Mad Max,1
Monty Python's Life of Brian,1
Moskva slezam ne verit (Moscow Does Not Believe in Tears),1
Mr. Mike's Mondo Video,1
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),1
Over the Edge,1
Le Père Noël est une ordure (Santa Claus Is a Stinker),1
Phantasm,1
Quadrophenia,1
Rock 'n' Roll High School,1
Siin me oleme! (Here we are!),1
Surakshaa (Protection),1
Tian can di que (The Crippled Masters),1
The Visitor,1
The Wanderers,1
The Warriors,1
The Wizard of Speed and Time,1
"Zombie Flesh Eaters, aka ""Zombi 2""",1
Airplane!,1
Altered States,1
The Apple,1
Arrebato,1
Bad Timing,1
Blank Generation,1
The Blues Brothers,1
Breaking Glass,1
Caddyshack,1
Cannibal Holocaust,1
Carny,1
Christmas Evil,1
Cruising,1
Exit... nur keine Panik (Exit - But Don't Panic),1
The Final Countdown,1
Flash Gordon,1
The Fog,1
Forbidden Zone,1
Friday the 13th,1
The Gods Must Be Crazy,1
Inferno,1
The Long Riders,1
Maniac,1
Miś (Teddy Bear),1
"Pepi, Luci, Bom",1
Popeye,1
Return of the Secaucus 7,1
Rude Boy,1
The Shining,1
Shogun Assassin,1
Somewhere in Time,1
Spetters,1
Stardust Memories,1
The Stunt Man,1
Times Square,1
Used Cars,1
Xanadu,1
...All the Marbles (also known as California Dolls),1
An American Werewolf in London,1
BMX Bandits,1
Body Heat,1
The Burning,1
Christiane F. - Wir Kinder vom Bahnhof Zoo (Christiane F. - We Children from Bahnhof Zoo),1
Clash of the Titans,1
Condorman,1
Coup de Torchon,1
Cutter's Way,1
Dark Night of the Scarecrow,1
Dead Kids (also known as Strange Behavior and Small Town Massacre),1
Diva,1
Dragonslayer,1
Dreszcze (Shivers),1
Escape from New York,1
The Evil Dead,1
Excalibur,1
For Your Height Only,1
Galaxy of Terror,1
Heavy Metal,1
Knightriders,1
Mad Max 2: The Road Warrior,1
Ms. 45,1
Mommie Dearest,1
Ms. 45,1
My Bloody Valentine,1
My Dinner with Andre,1
Polyester,1
Possession,1
Roadgames,1
Scanners,1
Shock Treatment,1
Tajemství hradu v Karpatech (The Mysterious Castle in the Carpathians),1
Taxi zum Klo,1
Time Bandits,1
Annie,1
La Balance (The Nark),1
Basket Case,1
The Beastmaster,1
Blade Runner,1
Britannia Hospital,1
Café Flesh,1
Class of 1984,1
Conan the Barbarian,1
Dark Crystal,1
Deux heures moins le quart avant Jésus-Christ (Quarter To Two Before Jesus-Christ),1
"Dünyayı Kurtaran Adam (The Man Who Saved the World, but better known as Turkish Star Wars)",1
Eating Raoul,1
Egymásra nézve (Another Way),1
Der Fan (The Fan),1
Fast Times At Ridgemont High,1
Fitzcarraldo,1
Grease 2,1
Halloween III: Season of the Witch,1
Kamikaze 1989,1
Koyaanisqatsi,1
"Ladies and Gentlemen, The Fabulous Stains",1
The Last Unicorn,1
Liquid Sky,1
Maratonci trče počasni krug (The Marathon Family),1
Mil gritos tiene la noche (Pieces),1
Monty Python Live at the Hollywood Bowl,1
Pásla kone na betóne (She Grazed Horses on Concrete),1
Pink Floyd – The Wall,1
Q (also known as Q - The Winged Serpent),1
The Secret of NIMH,1
Swamp Thing,1
The Thing,1
Tron,1
Turkey Shoot,1
Urgh! A Music War,1
White Dog,1
Angst,1
Banzaï,1
The Big Chill,1
Blood Simple,1
Born in Flames,1
Burroughs: The Movie,1
A Christmas Story,1
Copkiller (also known as Corrupt and/or The Order of Death),1
Cracking Up,1
Fire and Ice,1
Get Crazy,1
The Hunger,1
"Jaane Bhi Do Yaaro (Just Let It Go, Friends)",1
The King of Comedy,1
Krull,1
"Lift, The (The Lift)",1
The Man With Two Brains,1
Monty Python's Meaning of Life,1
Nightmares,1
Rembètiko,1
Rumble Fish,1
Scarface,1
Sleepaway Camp,1
Videodrome,1
De Vierde Man (The Fourth Man),1
Wild Style,1
Xtro,1
The Adventures of Buckaroo Banzai Across the 8th Dimension,1
Il Bacio di Tosca (Tosca's Kiss),1
Body Double,1
Breakin',1
The Brother from Another Planet,1
Cera Una Volta In America (Once Upon A Time In America),1
Choose Me,1
C.H.U.D.,1
The Company of Wolves,1
Desperate Teenage Lovedolls,1
Dune,1
Ghostbusters,1
The Last Starfighter,1
Love Streams,1
Night of the Comet,1
A Nightmare on Elm Street,1
Nothing Lasts Forever,1
"Paris, Texas",1
Purple Rain,1
¿Qué he hecho yo para merecer esto? (What Have I Done to Deserve This?),1
Razorback,1
Red Dawn,1
Repo Man,1
Revenge of the Nerds,1
Seksmisja (Sexmission),1
"Silent Night, Deadly Night",1
Stop Making Sense,1
Stranger than Paradise,1
Streets of Fire,1
The Terminator,1
This is Spinal Tap,1
Top Secret!,1
The Toxic Avenger,1
After Hours,1
Banpaia Hantā Dī (Vampire Hunter D),1
Better Off Dead,1
The Big Snit,1
The Black Cauldron,1
The Boys Next Door,1
Brazil,1
The Breakfast Club,1
Clue,1
Code of Silence,1
Commando,1
Daheim sterben die Leut',1
Day of the Dead,1
The Dead Father,1
Dèmoni (Demons),1
Desert Hearts,1
Desperately Seeking Susan,1
Esperando la Carroza (Waiting for the Hearse),1
Explorers,1
Fletch,1
Fright Night,1
The Goonies,1
The Last Dragon,1
Legend,1
The Legend of Billie Jean,1
Lifeforce,1
Lost In America,1
Mishima: A Life in Four Chapters,1
Mr. Vampire,1
Pee-Wee's Big Adventure,1
Pulgasari,1
The Quiet Earth,1
Real Genius,1
Re-Animator,1
The Return of the Living Dead,1
Return to Oz,1
The Stuff,1
Tampopo,1
Trancers,1
Vision Quest,1
Weird Science,1
Zuckerbaby (Sugarbaby),1
9½ Weeks,1
37°2 le matin (Betty Blue),1
At Close Range,1
Big Fun In The Big Town,1
Big Trouble in Little China,1
Blue Velvet,1
Class of Nuke 'Em High,1
Cobra,1
Combat Shock,1
Deadly Friend,1
Le Déclin de l'empire américain (The Decline of the American Empire),1
Down By Law,1
Fair Game,1
Ferris Bueller's Day Off,1
Flodder,1
The Fly,1
Gothic,1
Heavy Metal Parking Lot,1
Henry: Portrait of a Serial Killer,1
Highlander,1
The Hitcher,1
Howard the Duck,1
Kin-dza-dza!,1
Kuryer (Courier),1
Labyrinth,1
Little Shop of Horrors,1
Manhunter,1
Müllers Buro,1
Pretty in Pink,1
Rad,1
Sid & Nancy,1
Something Wild,1
Top Gun,1
The Transformers: The Movie,1
Vamp,1
Amazon Women on the Moon,1
Angel Heart,1
Assa (Acca),1
Bad Taste,1
Bagdad Café,1
Cherry 2000,1
Dirty Dancing,1
Eat the Rich,1
Evil Dead II,1
The Garbage Pail Kids Movie,1
The Gate,1
The Hidden,1
Der Himmel über Berlin (Wings of Desire),1
Ishtar,1
The Keep,1
Kingsajz,1
Kiss Daddy Goodnight,1
The Lost Boys,1
Miami Connection,1
The Monster Squad,1
Near Dark,1
Nekromantik,1
The Princess Bride,1
Przypadek (Blind Chance),1
Raising Arizona,1
"Rita, Sue and Bob Too",1
RoboCop,1
"Silent Night, Deadly Night Part 2",1
Spaceballs,1
The Stepfather,1
Superstar: The Karen Carpenter Story,1
Tough Guys Don't Dance,1
Urotsukidoji (Legend of the Overfiend),1
Walker,1
Wall Street,1
Withnail and I,1
Yōjū Toshi (Wicked City),1
Akira,1
Alice,1
Amsterdamned,1
Beetlejuice,1
Bloodsport,1
Cherith,1
Child's Play,1
Comic Book Confidential,1
Dead Ringers,1
The Decalogue,1
The Decline of Western Civilization Part II: The Metal Years,1
Earth Girls Are Easy,1
Gandahar,1
Le Grand Bleu (The Big Blue),1
Hairspray,1
Heathers,1
Hēi tài yáng 731 (Men Behind the Sun),1
Hell Comes to Frogtown,1
Hobgoblins,1
Killer Klowns from Outer Space,1
The Lair Of The White Worm,1
Let's Get Lost,1
Maniac Cop,1
Married to the Mob,1
Miracle Mile,1
Moonwalker,1
The Naked Gun trilogy,1
Nuovo Cinema Paradiso (also known as Cinema Paradiso),1
Pumpkinhead,1
Spoorloos (The Vanishing),1
Taffin,1
Tapeheads (also known as Corrupt and/or The Order of Death),1
They Live,1
Tonari no Totoro (My Neighbor Totoro),1
White Mischief,1
Willow,1
100 Jahre Adolf Hitler (100 Years of Adolf Hitler),1
The Adventures of Baron Munchhausen,1
