,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,rev_totalGross,rev_opening,num_theaters,runtime,prod_budget,rev_postOpening,leadActor,runtime_mins,releaseYear,Year,AvgPrice,rev_opening_ADJ,rev_totalGross_ADJ,year,CPI,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ
149,Steven Spielberg,Columbia,Sci-Fi,PG,Close Encounters of the Third Kind,1977-11-16,,closeencountersofthethirdkind,453942294,116000000,1740,2 hrs. 17 min.,20000000,1770372411.6,Richard Dreyfuss,137,1977,1977,2.2,2535,1770374946.6,1977,60.6,78547854.7855,0.158328858056,0
890,Peter Masterson,Island Pictures,Drama,PG,The Trip to Bountiful,1985-12-20,,triptobountiful,18365865.0686,8387,1,1 hrs. 48 min.,0,45002046.2367,Geraldine Page,108,1985,1985,3.5,20560.1314286,45022606.3681,1985,107.6,5598779.61202,0.106507173569,1
5541,Rodrigo Cortés,Wellspring,Foreign,Unrated,Red Lights,2004-08-20,,redlights,932491.006452,3202,1,1 hrs. 45 min.,0,1286016.07667,Cillian Murphy,105,2004,2004,6.2,4431.15483871,1290447.23151,2004,188.9,160473.37263,0.0657213382798,1
240,Peter Yates,Fox,Comedy / Drama,PG,Breaking Away,1979-07-13,,breakingaway,56370318.576,17702,1,1 hrs. 40 min.,0,193402180.089,Dennis Christopher,100,1979,1979,2.5,60753.264,193462933.353,1979,72.6,24058054.7302,0.0524153556869,1
4508,Kelly Reichardt,Kino,Drama,Unrated,Old Joy,2006-08-25,,oldjoy,337818.36,3310,1,1 hrs. 16 min.,0,441551.0352,Will Oldham,76,2006,2006,6.5,4369.2,445920.2352,2006,201.6,55452.3415573,0.0233589507215,1
4550,"Steven Ascher, Jeanne Jordan",Balcony Releasing,Documentary,Unrated,So Much So Fast,2006-10-11,,somuchsofast,28413,1015,1,1 hrs. 27 min.,0,36165.36,the life of Stephen Heywood,87,2006,2006,6.5,1339.8,37505.16,2006,201.6,4663.94743506,0.0208934941396,1
3773,Jeffrey Blitz,ThinkFilm,Documentary,G,Spellbound,2003-04-30,,spellbound,8191870.83,17508,1,1 hrs. 37 min.,0,11689338.8469,the 1999 Scripps National Spelling Bee,97,2003,2003,6,25036.44,11714375.2869,2003,184,1456739.4024,0.0186884800964,1
4000,"Zana Briski, Ross Kauffman",ThinkFilm,Documentary,R,Born into Brothels,2004-12-08,,bornintobrothels,4864390.86774,14605,1,1 hrs. 25 min.,0,6711477.86213,the children of prostitutes in India,85,2004,2004,6.2,20211.4354839,6731689.29762,2004,188.9,837118.219337,0.0164789578728,1
4498,Chris Noonan,MGM (Weinstein),Drama,PG,Miss Potter,2006-12-29,,misspotter,3967398.6,9653,2,1 hrs. 32 min.,0,5224224.192,Renée Zellweger,92,2006,2006,6.5,12741.96,5236966.152,2006,201.6,651242.148119,0.0161278804861,1
2339,Luis Mandoki,Buena Vista,Romance,R,When a Man Loves a Woman,1994-04-29,,whenamanlovesawoman,104680099.566,1511,1740,2 hrs. 6 min.,0,219059095.096,Andy García,126,1994,1994,4.1,3162.04390244,219062257.14,1994,148.2,27241454.9502,0.0125916463906,1
4144,Yaron Zilberman,Kino,Documentary,Unrated,Watermarks,2005-01-21,,watermarks,329919.76875,4837,1,1 hrs. 20 min.,0,435814.086855,women from Viennese Hakoah swim team,80,2005,2005,6.4,6484.603125,442298.68998,2005,195.3,55001.9828537,0.010518379853,1
5216,Jeff Malmberg,Cinema Guild,Documentary,Unrated,Marwencol,2010-10-08,,marwencol,123239.6,3276,1,1 hrs. 23 min.,0,131959.96,"After a vicious attack leaves him brain-damaged and broke; Mark Hogancamp seeks recovery in ""Marwencol"" a 1/6th scale World War II-era town he creates in his backyard.",83,2010,2010,7.8,3603.6,135563.56,2010,218.056,16857.9833119,0.0104392622708,1
