,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre,lifetimeRevenue
3,Peter Yates,Fox,Comedy / Drama,PG,Breaking Away,1979-07-13,0.0,breakingaway,1.0,Dennis Christopher,100.0,1979,60753.264,193462933.353,24281886.1992,310.77354687,1,Comedy,18880507.3372
1,Peter Masterson,Island Pictures,Drama,PG,The Trip to Bountiful,1985-12-20,0.0,triptobountiful,1.0,Geraldine Page,108.0,1985,20560.1314286,45022606.3682,5650869.56187,242.572589856,1,Drama,4987324.32841
56,Francis Ford Coppola,MGM,War,R,Apocalypse Now,1979-08-15,1.0,apocalypsenow,3.0,Martin Sheen,153.0,1979,406891.056,927967231.002,116470862.191,74.1906427649,1,War,90562526.9398
26,Martin Scorsese,Warner Bros.,Unknown,R,After Hours,1985-09-13,1.0,afterhours,1.0,Griffin Dunne,96.0,1985,111380.657143,63756736.2013,61933085.5019,63.4093468382,1,Unknown,7062574.71984
13,Albert Brooks,Columbia,Romantic Comedy,R,Modern Romance,1981-03-13,0.0,modernromance,1.0,Albert Brooks,93.0,1981,57915.0,28917834.6953,3629530.15234,50.7211147008,1,Romance,2937513.3579
23,Will Carroll,Miramax,Romance,R,Playing by Heart,1999-01-01,0.0,playingbyheart,1.0,Angelina Jolie,121.0,1999,45764.004,11690514.0032,28571428.5714,42.5735581753,0,Romance,1948336.48663
42,Vadim Perelman,DreamWorks,Drama / Thriller,R,House of Sand and Fog,2003-12-19,0.0,houseofsandandfog,2.0,Jennifer Connelly,126.0,2003,65167.96,26666084.9312,213423913.043,40.3673814616,0,Drama,5261319.80079
32,Miranda July,IFC,Comedy / Drama,R,Me and You and Everyone We Know,2005-06-17,1.0,meandyouandeveryoneweknow,1.0,Miranda July,90.0,2005,41292.590625,6982655.72748,876405.788963,36.8626052785,1,Comedy,1522152.46914
40,Raymond De Felitta,Anchor Bay Films,Comedy,PG-13,City Island,2010-03-19,0.0,cityisland,2.0,Andy García,100.0,2010,35201.1,8071953.56,6548776.46109,34.2389850182,0,Comedy,2410499.87105
87,Bob Fosse,Fox,Musical,R,All That Jazz,1979-12-20,0.0,allthatjazz,5.0,Roy Scheider,123.0,1979,295937.928,445510857.902,55916881.3207,29.3835017755,1,Music,43478463.1642
66,Mira Nair,USA Films,Foreign,R,Monsoon Wedding,2002-02-22,1.0,monsoonwedding,2.0,Naseeruddin Shah,114.0,2002,101400.806897,30387480.0072,3813987.92359,28.2451619103,1,Foreign,5728164.41725
49,Ed Harris,Sony Classics,Drama,R,Pollock,2000-12-15,0.0,pollock,2.0,Ed Harris,117.0,2000,71625.1924528,22534619.499,2828361.11634,27.2596265291,1,Drama,3904951.99268
84,Kimberly Peirce,Fox Searchlight,Drama,R,Boys Don't Cry,1999-10-08,1.0,boysdontcry,2.0,Hilary Swank,118.0,1999,126503.52,33983117.6462,2857142.85714,22.3851995646,0,Drama,5663613.08164
82,Ang Lee,Focus Features,Foreign,NC-17,"Lust, Caution",2007-09-28,0.0,lustcaution,1.0,Tony Leung Chiu-Wai,158.0,2007,80649.4764706,7331362.38981,17221418.2344,22.1929519821,0,Foreign,1789849.95869
137,Kevin Tancharoen,MGM,Music Drama,R, Fame,1980-05-16,0.0,fame,3.0,Debbie Allen,134.0,1980,389928.0,230898807.81,28980530.4798,19.6482202093,1,Music,22984173.6293
138,Alan Parker,MGM,Music Drama,R,Fame,1980-05-16,0.0,fame,3.0,Irene Cara,134.0,1980,389928.0,230898807.81,28980530.4798,19.6482202093,1,Music,22984173.6293
21,Gavin O'Connor,Miramax,Drama,R,Miracle,1991-07-03,0.0,miracle,1.0,Kurt Russell,96.0,1991,24669.5428571,3486842.4553,437639.913627,18.1984935019,1,Drama,448948.51538
75,Bruce Beresford,Universal,Unknown,PG,Tender Mercies,1983-03-04,0.0,tendermercies,3.0,Robert Duvall,92.0,1983,130020.212903,64677668.4322,23895582.3293,17.5688267404,1,Unknown,6852907.77974
113,Woody Allen,Fox Searchlight,Fantasy Comedy,PG-13,Melinda and Melinda,2005-03-18,0.0,melindaandmelinda,1.0,Chiwetel Ejiofor,100.0,2005,99525.31875,6876878.88164,863129.412831,15.0624398157,1,Fantasy,1499094.12381
119,Sidney Lumet,ThinkFilm,Crime Thriller,R,Before the Devil Knows You're Dead,2007-10-26,0.0,beforethedevilknowsyouredead,2.0,Philip Seymour Hoffman,123.0,2007,93164.9205882,11278444.821,1415578.01243,14.7774243295,1,Crime,2753475.12831
41,"Fenton Bailey, Randy Barbato",Strand,Comedy Thriller,R, Party Monster,2003-08-29,0.0,partymonster,1.0,Seth Green,97.0,2003,21683.09,1519152.1202,190671.510253,13.8234209756,1,Comedy,299734.481123
120,Sidney Lumet,Warner Bros.,Unknown,R,Prince of the City,1981-08-19,0.0,princeofthecity,3.0,Treat Williams,167.0,1981,205643.533333,82040953.7745,10297109.5831,13.5085417093,1,Unknown,8333832.74185
29,Matthew Barney,Palm,Unknown,Unrated,The Cremaster Cycle,2003-04-25,0.0,cremastercycle,1.0,,182.0,2003,15422.55,1052350.5278,132082.403342,13.4629328239,1,Unknown,207632.754623
155,Richard Linklater,Millennium Ent.,Comedy / Drama,PG-13,Bernie,2012-04-27,0.0,bernie,3.0,Jack Black,104.0,2012,93190.7468354,10859592.6632,1363007.11255,13.4621663847,1,Comedy,3763648.01825
52,Julie Taymor,Fox Searchlight,Fantasy Drama,R,Titus,1999-12-25,0.0,titus,2.0,Anthony Hopkins,162.0,1999,38289.108,5910778.54224,741872.531244,12.8638154436,1,Fantasy,985088.037626
212,Ken Russell,Warner Bros.,Sci-Fi Horror,R,Altered States,1980-12-25,1.0,alteredstates,3.0,William Hurt,103.0,1980,576345.0,216208883.88,27136770.8612,12.4473514939,1,Sci-Fi,21521906.3902
141,Mike Birbiglia,IFC,Comedy,PG-13,Sleepwalk with Me,2012-08-24,0.0,sleepwalkwithme,1.0,Mike Birbiglia,81.0,2012,74723.1113924,2672964.1836,335488.451802,12.3974868891,1,Comedy,926378.7938
107,John Curran,Warner Independent,Period Drama,PG-13, The Painted Veil,2006-12-20,0.0,paintedveil,4.0,Naomi Watts,124.0,2006,67433.52,14044592.5488,1762762.32696,11.9891670493,1,Period,3233886.944
47,Gregg Araki,Tartan,Drama,NC-17,Mysterious Skin,2005-05-06,0.0,mysteriousskin,1.0,Joseph Gordon-Levitt,99.0,2005,23360.390625,1281888.69961,160892.140945,11.962108707,1,Drama,279439.532095
211,Walter Salles,Focus Features,Foreign,R,The Motorcycle Diaries,2004-09-24,1.0,motorcyclediaries,3.0,Gael García Bernal,126.0,2004,221168.874194,32138015.035,4033700.50498,10.0300389569,1,Foreign,6654997.27262
94,Alison Maclean,Lions Gate,Drama,R,Jesus' Son,2000-06-16,0.0,jesusson,1.0,Billy Crudup,105.0,2000,60042.1924528,3412370.42004,34552845.5285,9.84838677208,0,Drama,591318.733919
81,Anton Corbijn,Weinstein Company,Music Drama,R,Control,2007-10-10,1.0,control,1.0,Sam Riley,121.0,2007,34918.0764706,1388668.94751,174294.29903,9.70913078608,1,Music,339024.171251
130,Tom McCarthy,Miramax,Drama,R,The Station Agent,2003-10-03,0.0,stationagent,3.0,Peter Dinklage,88.0,2003,82632.55,11736449.9824,38804347.8261,9.34113793186,1,Drama,2315646.14163
221,Kathryn Bigelow,Summit Entertainment,War,R,The Hurt Locker,2009-06-26,0.0,hurtlocker,4.0,Jeremy Renner,130.0,2009,166282.688,22271821.8969,16640486.2564,9.30836619863,0,War,6191280.60959
180,Aaron Schneider,Sony Classics,Comedy,PG-13,Get Low,2010-07-30,0.0,getlow,4.0,Robert Duvall,100.0,2010,97000.2,11104088.93,7640239.20461,8.54631248504,0,Comedy,3315976.08125
112,Danny Boyle,Paramount Classics,Period Drama,R,Sunshine,1999-12-17,0.0,sunshine,4.0,Cillian Murphy,180.0,1999,73273.2,15006753.1992,1883524.8555,8.53320044926,1,Period,2501019.61264
169,Julian Schnabel,Miramax,Drama,PG-13,The Diving Bell and the Butterfly,2007-11-30,0.0,divingbellandthebutterfly,3.0,Mathieu Amalric,112.0,2007,95542.0852941,9557438.58397,28702363.7241,8.14062002816,1,Drama,2333315.43923
53,Lee Hirsch,Artisan,Unknown,PG-13,Amandla!: A Revolution in Four-Part Harmony,2003-02-19,0.0,amandla,1.0,the use of music against South Africa under apartheid,103.0,2003,20278.83,828861.3619,104031.858768,8.06444423391,1,Unknown,163537.493664
150,Darren Aronofsky,Artisan,Drama,Unrated,Requiem for a Dream,2000-10-06,1.0,requiemforadream,2.0,Ellen Burstyn,102.0,2000,104854.075472,9527628.94642,1195829.88596,7.8729046915,1,Drama,1651012.28541
57,Jonas Åkerlund,Newmarket,Crime Drama,R,Spun,2003-03-14,0.0,spun,1.0,Jason Schwartzman,101.0,2003,21678.8,840697.2431,105517.398701,7.65138097875,1,Crime,165872.757962
143,Ryan Fleck,ThinkFilm,Drama,R, Half Nelson,2006-08-11,0.0,halfnelson,2.0,Ryan Gosling,107.0,2006,71257.56,4700887.1712,590016.779975,7.59511883669,1,Drama,1082419.27243
106,Miranda July,Roadside Attractions,Drama,R,The Future,2011-07-29,0.0,future,1.0,Hamish Linklater,91.0,2011,29472.843038,670771.499067,1058064.63086,7.3258292713,0,Drama,215913.016236
77,Craig Zobel,Magnolia,Drama / Thriller,R,Compliance,2012-08-17,0.0,compliance,1.0,Ann Dowd,90.0,2012,17840.9696203,376616.123602,47269.7378703,7.31603746279,1,Drama,130525.202114
287,Benh Zeitlin,Fox Searchlight,Drama,PG-13,Beasts of the Southern Wild,2012-06-27,0.0,beastsofthesouthernwild,4.0,Quvenzhané Wallis,91.0,2012,184309.260759,15093362.5354,1894395.10199,7.09535812489,1,Drama,5230960.84329
209,Spike Lee,Buena Vista,Crime Drama,R,25th Hour,2002-12-19,0.0,25thhour,5.0,Edward Norton,134.0,2002,161045.12069,28633792.4899,6614785.99222,6.70319860151,0,Crime,5397587.13893
135,Kevin Spacey,Lions Gate,Musical,PG-13,Beyond the Sea,2004-12-17,0.0,beyondthesea,6.0,Kevin Spacey,118.0,2004,62639.5354839,12100952.3732,1518812.50713,6.66727863126,1,Music,2505811.41842
144,William Friedkin,LD Entertainment,Comedy / Drama,NC-17,Killer Joe,2012-07-27,0.0,killerjoe,3.0,Matthew McConaughey,103.0,2012,41162.278481,2344686.46847,294285.791257,6.58051042075,1,Comedy,812606.407458
204,Debra Granik,Roadside Attractions,Drama,R,Winter's Bone,2010-06-11,1.0,wintersbone,4.0,Jennifer Lawrence,100.0,2010,93276.7,7903118.63,2182925.48703,6.32548448225,0,Drama,2360081.27362
134,Michael Rymer,Paramount (DreamWorks),Thriller,R,Perfume,2006-12-27,0.0,perfume,3.0,Estella Warren,147.0,2006,48944.28,3873865.7232,70833333.3333,6.07487089843,0,Thriller,891990.54665
133,Tom Tykwer,Paramount (DreamWorks),Thriller,R,Perfume: The Story of a Murderer,2006-12-27,0.0,perfume,3.0,Ben Whishaw,147.0,2006,48944.28,3873865.7232,70833333.3333,6.07487089843,0,Thriller,891990.54665
216,Phillip Noyce,Miramax,Drama / Thriller,R,The Quiet American,2002-11-22,0.0,quietamerican,6.0,Michael Caine,118.0,2002,150391.127586,28424160.8186,39688715.9533,5.93792864917,0,Drama,5358070.71045
267,Sam Mendes,Focus Features,Comedy,R,Away We Go,2009-06-05,0.0,awaywego,4.0,John Krasinski,98.0,2009,149190.184,12370102.0003,18859217.7573,5.76232544781,0,Comedy,3438729.57531
325,Alan J. Pakula,Universal,Romance,R,Sophie's Choice,1982-12-10,0.0,sophieschoice,9.0,Meryl Streep,150.0,1982,598028.958621,262918215.268,32999344.3604,5.06644982184,1,Romance,27268953.3977
74,Jeff Garlin,IFC,Comedy,R, I Want Someone to Eat Cheese With,2007-09-05,0.0,iwantsomeonetoeatcheesewith,1.0,Jeff Garlin,80.0,2007,15541.1558824,309762.018062,38878.7620716,4.86605246642,1,Comedy,75624.0799124
131,David Lynch,518 Media,Drama / Thriller,R,Inland Empire,2006-12-06,0.0,inlandempire,2.0,Laura Dern,179.0,2006,36310.56,1500824.952,188371.200998,4.75863930723,1,Drama,345577.716167
315,Thomas McCarthy,Fox Searchlight,Comedy,R,Win Win,2011-03-18,0.0,winwin,5.0,Paul Giamatti,106.0,2011,163304.551899,12007075.4704,1507029.61922,4.73339959111,1,Comedy,3864928.49592
126,Vera Farmiga,Sony Classics,Drama,R,Higher Ground,2011-08-26,0.0,higherground,3.0,Vera Farmiga,109.0,2011,23345.2025316,992875.392104,2116129.26171,4.56331101636,0,Drama,319594.259675
